"Investment Type ID","Investment Type","Quarter ID","Quarter_","Time ID","Investment (USD)"
3,"Reinversión de Utilidades",20152,"2015-T2",1430456400000,64330772.399902344
3,"Reinversión de Utilidades",20153,"2015-T3",1438405200000,39432830.810546875
3,"Reinversión de Utilidades",20154,"2015-T4",1446354000000,78623870.84960938
3,"Reinversión de Utilidades",20161,"2016-T1",1454306400000,1454054565.4296875
3,"Reinversión de Utilidades",20162,"2016-T2",1462078800000,49393398.28491211
3,"Reinversión de Utilidades",20163,"2016-T3",1470027600000,35757465.36254883
3,"Reinversión de Utilidades",20164,"2016-T4",1477976400000,-184701232.91015625
3,"Reinversión de Utilidades",20171,"2017-T1",1485928800000,2886913085.9375
3,"Reinversión de Utilidades",20172,"2017-T2",1493614800000,-35591133.11767578
3,"Reinversión de Utilidades",20174,"2017-T4",1509512400000,-913053710.9375
3,"Reinversión de Utilidades",20181,"2018-T1",1517464800000,2530537109.375
3,"Reinversión de Utilidades",20182,"2018-T2",1525150800000,-299817474.3652344
3,"Reinversión de Utilidades",20183,"2018-T3",1533099600000,-177207962.0361328
3,"Reinversión de Utilidades",20184,"2018-T4",1541048400000,-286221954.3457031
3,"Reinversión de Utilidades",20191,"2019-T1",1549000800000,2761444580.078125
3,"Reinversión de Utilidades",20192,"2019-T2",1556686800000,151963958.74023438
3,"Reinversión de Utilidades",20193,"2019-T3",1564635600000,58279003.14331055
3,"Reinversión de Utilidades",20194,"2019-T4",1572584400000,45190517.42553711
3,"Reinversión de Utilidades",20201,"2020-T1",1580536800000,6135821289.0625
3,"Reinversión de Utilidades",20202,"2020-T2",1588309200000,175038528.4423828
3,"Reinversión de Utilidades",20203,"2020-T3",1596258000000,158626785.2783203
3,"Reinversión de Utilidades",20204,"2020-T4",1604206800000,163772552.49023438
3,"Reinversión de Utilidades",20211,"2021-T1",1612159200000,4037481201.171875
3,"Reinversión de Utilidades",20212,"2021-T2",1619845200000,118830390.93017578
3,"Reinversión de Utilidades",20213,"2021-T3",1627794000000,-23926818.84765625
3,"Reinversión de Utilidades",20214,"2021-T4",1635742800000,120301643.37158203
3,"Reinversión de Utilidades",20221,"2022-T1",1643695200000,3547167480.46875
3,"Reinversión de Utilidades",20222,"2022-T2",1651381200000,186721481.3232422
3,"Reinversión de Utilidades",20223,"2022-T3",1659330000000,147350021.3623047
3,"Reinversión de Utilidades",20224,"2022-T4",1667278800000,-45618225.09765625
3,"Reinversión de Utilidades",20231,"2023-T1",1675231200000,7314649902.34375
3,"Reinversión de Utilidades",20232,"2023-T2",1682917200000,-458402679.4433594
